date,hour,day_idx,missing_percentage,valid_points,datetime
2015-06-09,20,11,0.0,3600,2015-06-09 20:00:00
2015-06-09,23,11,0.0,3600,2015-06-09 23:00:00
2015-06-10,0,12,0.0,3600,2015-06-10 00:00:00
2015-06-10,1,12,0.0,3600,2015-06-10 01:00:00
2015-06-10,2,12,0.0,3600,2015-06-10 02:00:00
2015-06-10,3,12,0.0,3600,2015-06-10 03:00:00
2015-06-10,4,12,0.0,3600,2015-06-10 04:00:00
2015-06-10,5,12,0.0,3600,2015-06-10 05:00:00
2015-06-10,6,12,0.0,3600,2015-06-10 06:00:00
2015-06-10,7,12,0.0,3600,2015-06-10 07:00:00
2015-06-10,9,12,0.0,3600,2015-06-10 09:00:00
2015-06-10,10,12,0.0,3600,2015-06-10 10:00:00
2015-06-10,11,12,0.0,3600,2015-06-10 11:00:00
2015-06-10,12,12,0.0,3600,2015-06-10 12:00:00
2015-06-10,13,12,0.0,3600,2015-06-10 13:00:00
2015-06-10,14,12,0.0,3600,2015-06-10 14:00:00
2015-06-10,15,12,0.0,3600,2015-06-10 15:00:00
2015-06-10,16,12,0.0,3600,2015-06-10 16:00:00
2015-06-10,17,12,0.0,3600,2015-06-10 17:00:00
2015-06-10,20,12,0.0,3600,2015-06-10 20:00:00
2015-06-10,21,12,0.0,3600,2015-06-10 21:00:00
2015-06-10,22,12,0.0,3600,2015-06-10 22:00:00
2015-06-10,23,12,0.0,3600,2015-06-10 23:00:00
2015-06-11,0,13,0.0,3600,2015-06-11 00:00:00
2015-06-11,1,13,0.0,3600,2015-06-11 01:00:00
2015-06-11,2,13,0.0,3600,2015-06-11 02:00:00
2015-06-11,3,13,0.0,3600,2015-06-11 03:00:00
